Comm ID,Size (nodes),Int. edges,Int. density,Mean degree,Clustering C,Total strength,Int. traffic %,Top port (hub)
20,1735,26716,0.01776,30.8,0.4615,487943,46.7,nld-rotterdammaasv
23,1146,17322,0.0264,30.23,0.4548,458263,45.5,tur-istanbul
3,760,10698,0.03709,28.15,0.5741,519552,40.9,mys-telokramunia
28,753,6264,0.02212,16.64,0.4695,213328,44.0,pan-manzanillo
12,468,4647,0.04252,19.86,0.5405,73728,42.1,chn-tongling
5,442,6535,0.06705,29.57,0.6873,733787,39.9,chn-shanghai
7,331,2306,0.04222,13.93,0.5544,200196,31.6,kor-busan
6,304,7690,0.16697,50.59,0.6641,487558,44.6,jpn-kobe
19,267,896,0.02523,6.71,0.4182,12835,48.4,aut-feldkirchenand
8,255,2381,0.07352,18.67,0.6228,104799,38.2,bra-santos
0,244,2036,0.06868,16.69,0.5161,18021,44.8,rus-astrakhan
4,244,2815,0.09495,23.07,0.6384,405295,35.6,chn-guangzhou
11,228,1020,0.03942,8.95,0.4468,52241,38.0,aus-geelong
15,146,851,0.0804,11.66,0.5817,40826,45.8,can-thorold
17,106,595,0.10692,11.23,0.4673,6879,45.6,hrv-split
9,96,890,0.19518,18.54,0.561,44759,37.4,phl-manila
21,39,318,0.42915,16.31,0.7149,6180,47.7,chl-chl-55
33,25,95,0.31667,7.6,0.448,2365,48.2,ecu-ayoraanchorage
32,21,41,0.19524,3.9,0.4906,162,49.4,pyf-pyf-65
30,20,41,0.21579,4.1,0.3769,134,50.0,usa-juneau
22,19,49,0.28655,5.16,0.7236,1815,47.8,grl-nuuk
14,16,26,0.21667,3.25,0.5528,246,46.7,fin-fin-26
24,11,20,0.36364,3.64,0.6659,502,47.6,gbr-stromness
1,9,14,0.38889,3.11,0.5741,872,46.3,prt-praiadavitoria
18,8,16,0.57143,4.0,0.6542,343,46.6,chn-chn-2573
29,4,6,1.0,3.0,1.0,159,48.4,usa-marco
25,4,3,0.5,1.5,0.0,6,50.0,aus-paynesville
10,3,3,1.0,2.0,1.0,104,49.0,cri-puntaarenas
27,3,2,0.66667,1.33,0.0,6,50.0,usa-herringtonsout
