Triad,Real_2015,RandMean_2015,RandStd_2015,Z_2015,Status_2015,Paper★,Real_2025,Z_2025,Status_2025
012,699285081,1155912809.3,763033.89,-598.437,under,,719766316,-648.562,under
102,287342225,47100811.0,404561.44,593.832,over,,315831311,641.611,over
021D,2318915,8164835.9,19631.29,-297.786,under,★,1968155,-279.051,under
021U,2502626,8583265.5,20844.23,-291.718,under,★,2043509,-275.752,under
021C,4496812,16270670.3,40088.36,-293.698,under,★,3700025,-273.572,under
111D,4581487,2517998.6,15716.78,131.292,over,★,3866197,116.441,over
111U,4286981,2427900.6,14530.49,127.943,over,★,3821197,118.636,over
030T,341534,879634.8,5131.1,-104.87,under,★,291128,-77.748,under
030C,70013,275050.5,1800.66,-113.868,under,★,56840,-91.793,under
201,2160309,256059.8,5111.77,372.522,over,★,1934733,404.382,over
120D,265830,115854.0,829.69,180.762,over,★,229506,204.574,over
120U,232541,112875.6,815.21,146.791,over,★,217851,148.824,over
120C,344592,221246.7,1241.54,99.349,over,★,297349,107.796,over
210,683953,81530.6,1371.68,439.184,over,★,614666,457.028,over
300,307940,6875.0,278.52,1080.958,over,★,282502,1251.682,over
